,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
059_Smetana_2,9.099274,23.331745999999995,16.001633000000005,25.554421999999995,16.478049999999996,12.267120000000006,22.247619,32.176733999999996,12.275239,13.498231000000004,8.80435399999999,9.071292,19.528572000000025,20.986121999999995
060_Kubin_2,9.699273999999999,25.251746,13.581633000000004,23.234422000000002,15.658049999999989,13.347120000000004,22.047618999999997,32.39673400000001,11.875238999999993,12.338231000000007,8.104354,8.531292000000008,22.12857199999999,23.942857000000004
061_Endress_2,9.620090000000001,25.231746,10.901632999999997,23.674422,22.23805,17.267120000000006,24.907618999999983,29.69673400000002,16.25523899999999,18.478230999999994,9.84435400000001,9.971292000000005,22.84857199999999,25.64285700000002
062_Stamitz_2,9.080907,23.091746,16.261633000000003,25.554421999999995,16.426349000000002,11.998821000000007,24.36761899999999,34.936734000000015,12.815238999999991,13.258230999999995,8.884354000000002,9.211292000000014,21.868571999999972,23.062857000000008
063_Mandelring_2,8.899273999999998,23.071745999999997,14.981633000000002,25.341088000000006,20.03138399999999,15.00712,22.62761900000001,32.19673399999999,15.095238999999992,15.908571000000023,8.974013999999983,9.231291999999996,18.988572000000005,19.722857000000005
064_Smetana_2,9.639274,24.991746,13.941632999999996,23.794422000000004,16.058049999999994,12.22712,23.04761900000001,29.03673399999998,11.81523900000002,12.818230999999997,8.58435399999999,8.931292000000013,21.148572,23.202856999999995
065_Sebastian_2,8.359274,23.532563000000003,30.978775,38.496463,19.518050000000002,14.947120000000012,20.80761899999999,42.756733999999994,14.715238999999997,15.91823100000002,9.446393999999998,10.089251999999988,18.728571999999986,19.66285700000003
066_Debussy_2,9.939274,27.591746,18.721632999999997,26.454422,16.898049999999998,12.827120000000008,23.027618999999987,31.860544000000004,13.471429,13.818230999999997,8.744354000000016,8.911292000000003,24.908571999999992,24.08285699999999
067_Talich_2,8.879274,25.571746,18.361632999999998,27.207755,18.754149999999996,15.677687000000006,25.34761900000001,35.33673399999998,14.035239000000018,14.618231000000009,8.224353999999977,8.805986000000019,19.973877999999985,22.58285700000002
068_Arcadia_2,8.419682000000002,21.711745999999998,15.621633,26.634422,18.73805,13.427120000000002,23.287618999999992,35.72054400000002,14.43142899999998,13.978230999999994,8.744354000000016,8.945986000000005,23.993877999999995,25.602856999999972
