,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15
051_Arianna_3,52.550477,26.858503,9.613855000000001,15.788139999999999,65.90362900000001,18.452878999999996,22.670885,14.40458000000001,4.442358999999982,5.383128999999997,29.885850000000005,11.825669000000005,16.96943299999998,30.635012000000017,2.5832189999999855
052_Martinu_3,56.870477,27.586394,9.945964000000004,16.04813999999999,69.503629,20.87287900000001,24.790885000000003,14.14457999999999,4.342358999999988,6.163128999999998,33.665850000000006,12.325669000000005,18.629433000000006,30.335012000000006,2.6832190000000082
053_Smetana_3,56.670477000000005,26.40639399999999,10.305964000000003,16.108140000000006,69.80362899999999,22.692879000000005,29.330884999999995,17.544580000000025,4.662358999999981,6.9031289999999785,33.98585000000003,13.285668999999984,19.169433000000026,34.155012,2.70321899999999
054_Kubin_3,59.790477,27.566394000000003,10.605964,16.10813999999999,65.823629,19.432879000000014,23.610884999999996,14.844580000000008,4.282358999999985,5.803129000000013,34.76585,10.205669,19.24943300000001,31.035011999999995,2.8432189999999764
055_Mandelring_3,50.270477,24.086394000000006,10.485963999999996,15.428139999999999,63.503629000000004,19.05287899999999,22.99088500000002,12.964579999999984,4.382359000000008,6.003129000000001,28.645849999999996,11.465668999999991,15.369025000000022,23.975419999999986,2.2432190000000105
056_Smetana_3,51.530477000000005,25.066394000000003,9.005963999999992,16.648139999999998,68.183629,20.452878999999996,25.670885000000027,17.744579999999985,5.40235899999999,6.723129,32.08585000000002,13.745668999999964,17.389433000000054,32.11501199999998,2.6832190000000082
057_Penny_3,50.290476999999996,25.298502999999997,9.953855000000004,15.148139999999998,60.503629000000004,20.392878999999994,25.050884999999994,15.364580000000018,4.342358999999988,7.74312900000001,36.645850000000024,15.945668999999953,17.48943300000002,26.91501199999999,2.5032190000000014
058_Vanbrugh_3,57.390477000000004,28.986393999999997,9.032109000000005,15.221994999999993,60.61800500000001,20.918502999999987,24.230885,17.224580000000003,5.302358999999996,7.103128999999996,34.645850000000024,12.145668999999998,19.24943300000001,23.515011999999956,2.6632190000000264
059_Amati_3,53.810477,27.326394000000008,11.685963999999998,16.92814,72.94362899999999,19.912879000000004,25.47088500000001,15.624580000000009,5.262358999999975,6.823129000000023,34.28584999999998,13.965668999999991,19.389432999999997,31.39501200000001,2.7632189999999923
060_Alkyona_3,54.050477,27.086394,10.905963999999997,13.84814,58.063629000000006,18.33287899999999,25.030885000000012,16.62457999999998,5.142358999999999,6.843129000000005,32.22584999999998,12.785669000000041,17.529432999999983,25.95501200000001,2.943218999999999
061_Koeckert_3,57.950477,28.946394000000005,10.365963999999991,14.788139999999999,59.61800500000001,17.458503000000007,21.870884999999987,16.86457999999999,4.902359000000018,7.003129000000001,34.305849999999964,12.385669000000007,19.569433000000004,25.239592000000016,2.180000000000007
062_Petersen_3,55.070477,26.498503000000007,10.173854999999989,12.928140000000013,51.83800499999998,17.578503000000012,20.350885000000005,13.344580000000008,4.682358999999991,5.843129000000005,30.46584999999999,13.645669000000026,16.68943299999995,26.315012000000024,2.7632189999999923
063_Janacek_3,64.610477,30.086394,12.745964,18.98814,74.023629,19.412879000000004,24.93088499999999,14.34457999999998,5.002359000000013,6.543129000000022,39.105849999999975,14.625669000000016,20.389432999999997,31.67501199999998,2.5032190000000014
064_Zagrebacki_3,51.030477,21.978502999999996,9.400000000000006,13.621994999999998,57.62362900000001,21.33287899999999,26.75088500000001,16.304579999999987,4.702359000000001,9.003129000000001,32.24585000000002,14.765669000000003,16.989432999999963,25.95501200000001,2.3432190000000332
065_Amphion_3,55.010477,27.238502999999994,9.620000000000005,14.501994999999994,58.70362900000002,17.912878999999975,21.410885000000007,14.184580000000011,4.302358999999996,6.423128999999989,33.625849999999986,13.565669000000014,18.109433000000024,25.13501199999996,2.4032190000000355
066_Smetana_3,58.870476999999994,27.138503000000007,9.739999999999995,14.581995000000006,65.42362899999999,19.412879000000004,26.850885000000005,18.10458,4.602359000000007,6.542039999999986,35.406938999999994,12.725668999999982,18.189433000000008,33.01501200000001,2.883218999999997
067_Talich_3,56.750477000000004,27.286393999999994,10.585964000000004,16.968140000000005,67.10362899999998,19.492879000000016,23.69088499999998,16.044580000000025,4.802358999999996,7.303128999999984,34.345849999999984,13.085669000000053,17.989432999999963,30.45501200000001,2.8232189999999946
068_Vaghy_3,49.470476999999995,23.446394000000005,10.805964000000003,15.34814,59.62362900000001,19.432878999999986,26.944761999999997,14.690703000000013,4.622358999999989,6.603128999999996,31.50584999999998,14.465669000000048,15.70943299999999,27.655012,2.4832189999999628
069_Pacifica_3,55.670477000000005,26.886393999999996,9.145964000000006,15.928139999999999,67.058005,20.73850300000001,22.19088499999998,14.124580000000009,5.44235900000001,6.68312899999998,33.48585000000003,12.545668999999975,18.149432999999988,32.17501200000004,2.543218999999965
071_Janacek_3,49.630477,24.866394,13.925964000000008,18.748139999999992,74.56362899999999,19.932879000000014,24.650884999999988,13.824579999999997,4.562359000000015,5.663128999999998,31.985850000000028,13.025668999999994,15.049432999999965,30.19501200000002,2.5832189999999855
